,ra,dec,clon,clat,sigra,sigdec,sigradec,w1mpro,w1sigmpro,w1snr,w1rchi2,w2mpro,w2sigmpro,w2snr,w2rchi2,w3mpro,w3sigmpro,w3snr,w3rchi2,nb,na,w3exptime,cc_flags,ph_qual,sso_flg,mjd,tmass_key,j_m_2mass,j_msig_2mass,h_m_2mass,h_msig_2mass,k_m_2mass,k_msig_2mass,dist,angle
0,278.5359172,9.5669288,18h34m08.62s,09d34m00.94s,0.0471,0.0497,0.0053,10.501,0.025,43.5,16.83,10.505,0.028,38.9,9.043,8.256,,-0.6,1.286,1,0,1.1,,,0,55467.14593,1046661329,11.518,0.029,10.896,0.028,10.781,0.03,0.653908,131.855285
1,278.5359387,9.5669645,18h34m08.63s,09d34m01.07s,0.0474,0.0475,-0.0177,10.628,0.026,42.4,4.917,10.539,0.027,39.9,4.598,7.653,,1.6,1.006,1,0,1.1,,,0,55467.146058,1046661329,11.518,0.029,10.896,0.028,10.781,0.03,0.641975,118.65002
2,278.5359316,9.5670059,18h34m08.62s,09d34m01.22s,0.0503,0.0491,-0.0117,10.602,0.026,41.7,19.72,10.633,0.033,33.2,3.548,8.412,0.54,2.0,0.5282,1,0,1.1,,,0,55467.278234,1046661329,11.518,0.029,10.896,0.028,10.781,0.03,0.561096,106.436047
3,278.5358503,9.5670089,18h34m08.60s,09d34m01.23s,0.0447,0.0407,-0.008,10.625,0.022,49.9,12.81,10.559,0.025,43.8,5.679,8.29,,-0.8,1.465,1,0,1.1,,,0,55467.410538,1046661329,11.518,0.029,10.896,0.028,10.781,0.03,0.290124,120.662983
4,278.5358735,9.5670125,18h34m08.61s,09d34m01.25s,0.0419,0.0409,-0.0036,10.656,0.023,47.5,8.043,10.589,0.023,47.1,6.939,8.283,,-1.8,0.855,1,0,1.1,,,0,55467.476627000004,1046661329,11.518,0.029,10.896,0.028,10.781,0.03,0.35832,112.132863
5,278.535884,9.5669841,18h34m08.61s,09d34m01.14s,0.0416,0.0432,0.0107,10.638,0.025,43.4,21.62,10.571,0.023,48.2,7.284,8.052,0.408,2.7,1.683,1,0,1.1,,,0,55467.542842,1046661329,11.518,0.029,10.896,0.028,10.781,0.03,0.438845,122.72443
6,278.5360078,9.5670252,18h34m08.64s,09d34m01.29s,0.0491,0.0449,-0.0045,10.605,0.025,43.8,13.95,10.641,0.032,34.3,13.59,8.41,,-0.7,1.932,1,0,1.1,,,0,55467.608931,1046661329,11.518,0.029,10.896,0.028,10.781,0.03,0.813589,96.300089
7,278.5359095,9.5670049,18h34m08.62s,09d34m01.22s,0.0436,0.0458,-0.012,10.554,0.024,44.4,21.73,10.57,0.023,47.0,4.536,8.317,0.54,2.0,1.306,1,0,1.1,,,0,55467.675019,1046661329,11.518,0.029,10.896,0.028,10.781,0.03,0.487549,109.451914
8,278.5358689,9.5669707,18h34m08.61s,09d34m01.09s,0.0412,0.042,0.0073,10.635,0.024,46.0,21.23,10.56,0.023,46.3,7.059,8.255,,-0.2,0.8373,1,0,1.1,,,0,55467.741235,1046661329,11.518,0.029,10.896,0.028,10.781,0.03,0.425556,132.132319
9,278.5359303,9.5669798,18h34m08.62s,09d34m01.13s,0.0481,0.0448,-0.0093,10.551,0.024,45.6,12.01,10.543,0.025,43.7,7.857,8.348,,-0.1,1.294,1,0,1.1,,,0,55467.807323,1046661329,11.518,0.029,10.896,0.028,10.781,0.03,0.590376,115.344726
10,278.5358841,9.567081,18h34m08.61s,09d34m01.49s,0.0426,0.0532,0.0066,10.605,0.027,40.3,22.71,10.581,0.026,42.6,10.97,7.686,,1.5,1.738,1,0,1.1,,,0,55467.873411,1046661329,11.518,0.029,10.896,0.028,10.781,0.03,0.386026,73.196161
11,278.5359449,9.5670099,18h34m08.63s,09d34m01.24s,0.049,0.0476,0.0159,10.613,0.025,44.2,16.11,10.564,0.026,41.8,7.407,8.145,,0.2,0.9265,1,0,1.1,,,0,55468.005715,1046661329,11.518,0.029,10.896,0.028,10.781,0.03,0.602924,103.853144
12,278.5359026,9.5669815,18h34m08.62s,09d34m01.13s,0.0472,0.0471,-0.0191,10.605,0.026,42.5,13.61,10.595,0.024,45.9,5.615,7.66,,1.4,0.596,1,0,1.1,,,0,55468.138019,1046661329,11.518,0.029,10.896,0.028,10.781,0.03,0.50023,119.536229
13,278.5358731,9.5669551,18h34m08.61s,09d34m01.04s,0.0535,0.0745,-0.0314,10.637,0.032,34.0,17.54,10.506,0.039,28.1,8.743,8.296,,0.0,1.826,1,0,1.1,,,0,55468.270323,1046661329,11.518,0.029,10.896,0.028,10.781,0.03,0.475344,135.949646
