,ra,dec,clon,clat,sigra,sigdec,sigradec,w1mpro,w1sigmpro,w1snr,w1rchi2,w2mpro,w2sigmpro,w2snr,w2rchi2,w3mpro,w3sigmpro,w3snr,w3rchi2,w4mpro,w4sigmpro,w4snr,w4rchi2,nb,na,w1sat,w2sat,w3sat,w4sat,cc_flags,ph_qual,sso_flg,mjd,tmass_key,j_m_2mass,j_msig_2mass,h_m_2mass,h_msig_2mass,k_m_2mass,k_msig_2mass,dist,angle
0,278.5359356,9.5669786,18h34m08.62s,09d34m01.12s,0.0945,0.0911,-0.0317,10.536,0.027,40.6,3.634,10.518,0.022,49.2,3.032,10.113,0.156,7.0,0.8859,7.642,,0.8,1.511,1,0,0.0,0.0,0.0,0.0,,,0,55284.79628,1046661329,11.518,0.029,10.896,0.028,10.781,0.03,0.609245,114.954473
1,278.5359186,9.5669805,18h34m08.62s,09d34m01.13s,0.0759,0.0765,-0.0137,10.491,0.021,52.1,34.06,10.55,0.021,51.2,9.201,10.283,0.188,5.8,1.603,7.977,,,1.16,1,0,0.0,0.0,0.0,0.0,,,0,55284.928585,1046661329,11.518,0.029,10.896,0.028,10.781,0.03,0.55198,116.95403
2,278.5357848,9.5669901,18h34m08.59s,09d34m01.16s,0.0931,0.0885,-0.01,10.725,0.026,41.6,5.214,10.64,0.026,41.7,1.474,10.613,0.274,4.0,1.124,7.62,,,1.076,3,0,0.0,0.0,0.0,0.0,,,0,55285.061016,1046661329,11.518,0.029,10.896,0.028,10.781,0.03,0.216311,175.48193
3,278.5359544,9.5670254,18h34m08.63s,09d34m01.29s,0.0749,0.0795,-0.0086,10.585,0.023,48.2,21.07,10.539,0.022,49.8,8.5,10.736,,1.1,0.5546,7.877,,,1.241,1,0,0.0,0.0,0.0,0.0,,,0,55285.19332,1046661329,11.518,0.029,10.896,0.028,10.781,0.03,0.625412,98.14061
4,278.5359149,9.5669942,18h34m08.62s,09d34m01.18s,0.0786,0.0837,-0.0248,10.534,0.019,56.8,13.51,10.553,0.027,40.6,2.259,10.621,0.257,4.2,0.8355,7.933,,0.0,1.188,1,0,0.0,0.0,0.0,0.0,,,0,55285.259408,1046661329,11.518,0.029,10.896,0.028,10.781,0.03,0.519309,112.756763
5,278.5358999,9.5669816,18h34m08.62s,09d34m01.13s,0.0784,0.0778,-0.0128,10.592,0.022,49.0,15.25,10.511,0.022,49.9,11.08,10.936,0.416,2.6,1.27,7.602,,0.6,1.393,1,0,0.0,0.0,0.0,0.0,,,0,55285.325624,1046661329,11.518,0.029,10.896,0.028,10.781,0.03,0.491735,120.050296
6,278.5358964,9.5669905,18h34m08.62s,09d34m01.17s,0.0796,0.0807,-0.0065,10.486,0.021,50.6,27.62,10.569,0.023,48.2,4.053,10.145,0.162,6.7,1.914,7.932,,,0.7379,1,0,0.0,0.0,0.0,0.0,,,0,55285.391712,1046661329,11.518,0.029,10.896,0.028,10.781,0.03,0.465433,117.401223
7,278.5359644,9.5669855,18h34m08.63s,09d34m01.15s,0.092,0.086,-0.0261,10.536,0.024,45.5,17.91,10.485,0.029,37.5,9.246,9.597,0.103,10.5,1.514,7.553,,0.8,0.9525,1,0,0.0,0.0,0.0,0.0,,,0,55285.457928,1046661329,11.518,0.029,10.896,0.028,10.781,0.03,0.694569,109.530421
8,278.5359802,9.5670703,18h34m08.64s,09d34m01.45s,0.0723,0.086,0.0187,10.519,0.023,46.2,15.79,10.498,0.02,54.7,12.58,10.537,0.231,4.7,1.382,7.986,,,1.313,1,0,0.0,0.0,0.0,0.0,,,0,55285.524016,1046661329,11.518,0.029,10.896,0.028,10.781,0.03,0.714442,84.128964
9,278.5358938,9.5670018,18h34m08.61s,09d34m01.21s,0.0833,0.0872,0.018,10.56,0.024,45.1,30.6,10.564,0.027,40.2,2.573,10.573,0.233,4.7,1.009,7.564,,0.8,1.333,1,0,0.0,0.0,0.0,0.0,,,0,55285.524144,1046661329,11.518,0.029,10.896,0.028,10.781,0.03,0.439673,113.244673
10,278.535997,9.5669471,18h34m08.64s,09d34m01.01s,0.068,0.0721,-0.0092,10.57,0.019,56.5,19.85,10.599,0.021,52.1,6.811,10.393,0.216,5.0,2.276,7.262,,1.5,1.288,1,0,0.0,0.0,0.0,0.0,,,0,55285.656448,1046661329,11.518,0.029,10.896,0.028,10.781,0.03,0.854777,115.682031
11,278.5358785,9.5670014,18h34m08.61s,09d34m01.21s,0.088,0.0883,-0.0154,10.622,0.028,39.2,4.634,10.625,0.021,50.7,8.34,9.842,0.142,7.6,1.323,7.223,,1.7,1.665,1,0,0.0,0.0,0.0,0.0,,,0,55285.788752,1046661329,11.518,0.029,10.896,0.028,10.781,0.03,0.390998,116.581546
12,278.5358988,9.5670301,18h34m08.62s,09d34m01.31s,0.085,0.0898,-0.0291,10.517,0.025,43.0,24.86,10.566,0.025,42.8,19.89,10.256,0.175,6.2,1.128,7.751,,0.3,1.656,1,0,0.0,0.0,0.0,0.0,,,0,55285.921056,1046661329,11.518,0.029,10.896,0.028,10.781,0.03,0.42777,99.640853
13,278.5359456,9.567013,18h34m08.63s,09d34m01.25s,0.0811,0.0783,-0.0192,10.561,0.02,54.8,14.85,10.535,0.022,50.0,8.914,10.339,0.23,4.7,0.8917,7.766,,0.3,1.35,1,0,0.0,0.0,0.0,0.0,,,0,55292.272288,1046661329,11.518,0.029,10.896,0.028,10.781,0.03,0.602768,102.766576
