,ra,dec,clon,clat,sigra,sigdec,sigradec,w1mpro,w1sigmpro,w1snr,w1rchi2,w2mpro,w2sigmpro,w2snr,w2rchi2,nb,na,cc_flags,ph_qual,qual_frame,mjd,allwise_cntr,w1mpro_allwise,w1sigmpro_allwise,w2mpro_allwise,w2sigmpro_allwise,w3mpro_allwise,w3sigmpro_allwise,w4mpro_allwise,w4sigmpro_allwise,tmass_key,j_m_2mass,j_msig_2mass,h_m_2mass,h_msig_2mass,k_m_2mass,k_msig_2mass,dist,angle
0,278.5359535,9.5669959,18h34m08.63s,09d34m01.19s,0.0351,0.0298,0.0019,10.557,0.017,65.4,31.71,10.57,0.017,62.2,11.53,1,0,,,10,56749.45888837,2788109001351064728,10.531,0.024,10.52,0.021,10.297,0.067,9.11,,1046661329,11.518,0.0289,10.896,0.0281,10.781,0.0302,0.645972,107.547643
1,278.5358695,9.566966,18h34m08.61s,09d34m01.08s,0.0352,0.0299,-0.0067,10.593,0.016,67.7,15.68,10.605,0.019,55.8,3.513,1,0,,,10,56749.59055567,2788109001351064728,10.531,0.024,10.52,0.021,10.297,0.067,9.11,,1046661329,11.518,0.0289,10.896,0.0281,10.781,0.0302,0.438619,133.584901
2,278.5359031,9.5669922,18h34m08.62s,09d34m01.17s,0.033,0.0314,-0.0054,10.56,0.016,67.6,33.33,10.548,0.021,51.5,11.03,1,0,,,10,56749.72222293,2788109001351064728,10.531,0.024,10.52,0.021,10.297,0.067,9.11,,1046661329,11.518,0.0289,10.896,0.0281,10.781,0.0302,0.484009,115.461886
3,278.5359143,9.5670171,18h34m08.62s,09d34m01.26s,0.0418,0.0316,0.0099,10.628,0.02,54.9,27.8,10.604,0.019,57.6,14.13,1,0,,,5,56749.78805661,2788109001351064728,10.531,0.024,10.52,0.021,10.297,0.067,9.11,,1046661329,11.518,0.0289,10.896,0.0281,10.781,0.0302,0.491245,103.951491
4,278.5359682,9.5669663,18h34m08.63s,09d34m01.08s,0.0386,0.0379,-0.011,10.627,0.02,54.8,35.21,10.644,0.026,41.4,9.012,1,0,,,5,56749.85389029,2788109001351064728,10.531,0.024,10.52,0.021,10.297,0.067,9.11,,1046661329,11.518,0.0289,10.896,0.0281,10.781,0.0302,0.7329,114.275948
5,278.5358876,9.5669637,18h34m08.61s,09d34m01.07s,0.0375,0.0364,-0.0103,10.598,0.019,57.9,14.3,10.597,0.02,54.3,15.22,1,0,,,10,56749.91959664,2788109001351064728,10.531,0.024,10.52,0.021,10.297,0.067,9.11,,1046661329,11.518,0.0289,10.896,0.0281,10.781,0.0302,0.492369,129.12341
6,278.5359244,9.5670153,18h34m08.62s,09d34m01.26s,0.0344,0.0307,0.0101,10.557,0.018,59.5,37.55,10.589,0.019,56.7,8.902,1,0,,,5,56749.919724,2788109001351064728,10.531,0.024,10.52,0.021,10.297,0.067,9.11,,1046661329,11.518,0.0289,10.896,0.0281,10.781,0.0302,0.52761,103.695679
7,278.5359674,9.5670168,18h34m08.63s,09d34m01.26s,0.0383,0.0407,-0.011,10.54,0.021,52.3,28.68,10.554,0.023,48.2,11.91,1,0,,,5,56749.98543032,2788109001351064728,10.531,0.024,10.52,0.021,10.297,0.067,9.11,,1046661329,11.518,0.0289,10.896,0.0281,10.781,0.0302,0.675909,100.185082
8,278.5358775,9.5669932,18h34m08.61s,09d34m01.18s,0.0343,0.0342,-0.0122,10.582,0.018,58.9,30.14,10.617,0.019,56.2,5.034,1,0,,,10,56749.98555769,2788109001351064728,10.531,0.024,10.52,0.021,10.297,0.067,9.11,,1046661329,11.518,0.0289,10.896,0.0281,10.781,0.0302,0.402006,120.573769
9,278.5358579,9.5669698,18h34m08.61s,09d34m01.09s,0.0332,0.0335,-0.0091,10.599,0.017,64.2,9.036,10.578,0.018,59.3,3.188,1,0,,,10,56750.05126399,2788109001351064728,10.531,0.024,10.52,0.021,10.297,0.067,9.11,,1046661329,11.518,0.0289,10.896,0.0281,10.781,0.0302,0.399791,136.23443
