oid,filter,mjd,mag,magerr,clrcoeff,ref,ref_err
538202200014358,zr,58198.50315,13.387868,0.013341744,0.083742075,13.457000160217284,0.021
538202200014358,zr,58198.52497,13.410488,0.013350883,0.08887019,13.457000160217284,0.021
538102200010791,zg,58204.50709,14.347261,0.016242938,-0.07073358,14.2649995803833,0.017
538102200010791,zg,58204.52893,14.343588,0.01624305,-0.057932664,14.2649995803833,0.017
538102200010791,zg,58207.48691,14.280262,0.0162459,-0.024522783,14.2649995803833,0.017
538102200010791,zg,58210.51036,14.259511,0.01624721,-0.013304003,14.2649995803833,0.017
538202200014358,zr,58216.51117,13.324455,0.013316583,0.10898504,13.457000160217284,0.021
538102200010791,zg,58229.50171,14.3396635,0.016243173,-0.07535608,14.2649995803833,0.017
538102200010791,zg,58232.48193,14.32614,0.016243659,-0.017775944,14.2649995803833,0.017
538102200010791,zg,58235.40204,14.131022,0.016259179,-0.018651381,14.2649995803833,0.017
538102200010791,zg,58235.46192,14.302533,0.016244698,-0.014499455,14.2649995803833,0.017
538102200010791,zg,58244.43675,14.201973,0.016251767,-0.022659466,14.2649995803833,0.017
538102200010791,zg,58247.38263,14.158548,0.016256073,-0.022958407,14.2649995803833,0.017
538202200014358,zr,58247.45838,13.321098,0.013315269,0.10265053,13.457000160217284,0.021
538102200010791,zg,58254.42269,14.275262,0.016246198,-0.030938629,14.2649995803833,0.017
538202200014358,zr,58254.4831,13.368197,0.013333868,0.098293655,13.457000160217284,0.021
538202200014358,zr,58257.42085,13.427137,0.013357665,0.10362473,13.457000160217284,0.021
538202200014358,zr,58257.44597,13.409311,0.013350405,0.10210271,13.457000160217284,0.021
538102200010791,zg,58269.32057,14.20649,0.016251361,-0.028436083,14.2649995803833,0.017
538202200014358,zr,58269.38262,13.378849,0.013338124,0.06816409,13.457000160217284,0.021
538202200014358,zr,58273.38326,13.353407,0.013327988,0.09237816,13.457000160217284,0.021
538202200014358,zr,58276.4398,13.350264,0.013326745,0.085267946,13.457000160217284,0.021
538102200010791,zg,58279.3626,14.280988,0.016245857,-0.036123853,14.2649995803833,0.017
538202200014358,zr,58279.38407,13.389056,0.013342222,0.095190935,13.457000160217284,0.021
538202200014358,zr,58280.40016,13.43435,0.013360619,0.08692788,13.457000160217284,0.021
538202200014358,zr,58282.35866,13.448109,0.013366278,0.08784043,13.457000160217284,0.021
538102200010791,zg,58282.38312,14.304756,0.016244588,-0.019548357,14.2649995803833,0.017
538202200014358,zr,58283.37859,13.410893,0.013351047,0.08062592,13.457000160217284,0.021
538202200014358,zr,58285.35927,13.4411745,0.013363422,0.087388396,13.457000160217284,0.021
538202200014358,zr,58285.40058,13.463424,0.013372619,0.0730356,13.457000160217284,0.021
538102200010791,zg,58285.42547,14.300243,0.016244812,-0.053735532,14.2649995803833,0.017
538202200014358,zr,58288.3386,13.4583435,0.01337051,0.08694067,13.457000160217284,0.021
538102200010791,zg,58288.38377,14.335384,0.016243318,-0.019527515,14.2649995803833,0.017
538202200014358,zr,58291.33736,13.450262,0.013367167,0.08689961,13.457000160217284,0.021
538202200014358,zr,58294.3213,13.409238,0.013350374,0.089122035,13.457000160217284,0.021
538102200010791,zg,58294.36529,14.328067,0.016243584,-0.01918082,14.2649995803833,0.017
538202200014358,zr,58297.31918,13.367621,0.013333639,0.09565871,13.457000160217284,0.021
538102200010791,zg,58297.46109,14.352506,0.01624279,-0.0353118,14.2649995803833,0.017
538102200010791,zg,58300.29893,14.214171,0.016250689,-0.04136951,14.2649995803833,0.017
538202200014358,zr,58300.34029,13.376806,0.013337307,0.09419116,13.457000160217284,0.021
538102200010791,zg,58303.29164,14.176854,0.01625417,-0.045514386,14.2649995803833,0.017
538102200010791,zg,58310.35757,14.242835,0.016248392,-0.0024100218,14.2649995803833,0.017
538202200014358,zr,58310.39009,13.345928,0.013325029,0.10164376,13.457000160217284,0.021
538202200014358,zr,58313.21658,13.433827,0.013360404,0.09190047,13.457000160217284,0.021
538102200010791,zg,58313.32045,14.321403,0.016243847,-0.040939335,14.2649995803833,0.017
538102200010791,zg,58316.36176,14.35288,0.01624278,-0.059781637,14.2649995803833,0.017
538202200014358,zr,58319.28054,13.464603,0.013373109,0.06858086,13.457000160217284,0.021
538102200010791,zg,58319.36335,14.309484,0.016244367,-0.002864604,14.2649995803833,0.017
538102200010791,zg,58322.21604,14.251942,0.01624773,-0.008406518,14.2649995803833,0.017
538202200014358,zr,58322.2777,13.44643,0.013365585,0.08705384,13.457000160217284,0.021
538102200010791,zg,58326.1681,14.266639,0.016246738,-0.051084634,14.2649995803833,0.017
538202200014358,zr,58326.31709,13.331446,0.013319325,0.07876007,13.457000160217284,0.021
1533111200023742,zg,58330.22584,14.345742,0.009972608,-0.045418024,14.444000434875488,0.015
1533111200023742,zg,58330.2263,14.350496,0.0099735,-0.041418813,14.444000434875488,0.015
538102200010791,zg,58330.27828,14.319445,0.016243929,-0.015844999,14.2649995803833,0.017
538202200014358,zr,58330.33725,13.456199,0.013369622,0.08277982,13.457000160217284,0.021
1533111200023742,zg,58333.21392,14.3394985,0.009971452,-0.068585105,14.444000434875488,0.015
1533111200023742,zg,58333.21621,14.324345,0.009968735,-0.047007307,14.444000434875488,0.015
538202200014358,zr,58333.23756,13.457214,0.013370043,0.1070899,13.457000160217284,0.021
538202200014358,zr,58333.23801,13.428313,0.013358146,0.10886905,13.457000160217284,0.021
538202200014358,zr,58333.23847,13.444134,0.01336464,0.093970515,13.457000160217284,0.021
538202200014358,zr,58333.23893,13.429031,0.013358439,0.089835405,13.457000160217284,0.021
538202200014358,zr,58333.23938,13.431388,0.013359405,0.08438189,13.457000160217284,0.021
538202200014358,zr,58333.23985,13.450034,0.013367073,0.08750903,13.457000160217284,0.021
538202200014358,zr,58333.2403,13.467688,0.01337439,0.08473539,13.457000160217284,0.021
538202200014358,zr,58333.24076,13.450458,0.013367248,0.08394927,13.457000160217284,0.021
538202200014358,zr,58333.24121,13.457634,0.013370217,0.08367602,13.457000160217284,0.021
538202200014358,zr,58333.24166,13.449228,0.01336674,0.08894664,13.457000160217284,0.021
538202200014358,zr,58333.24213,13.440646,0.013363204,0.08900621,13.457000160217284,0.021
538202200014358,zr,58333.24258,13.444719,0.013364881,0.092561014,13.457000160217284,0.021
538202200014358,zr,58333.24304,13.457224,0.013370046,0.08758863,13.457000160217284,0.021
538202200014358,zr,58333.24349,13.438051,0.013362139,0.08434406,13.457000160217284,0.021
538202200014358,zr,58333.24396,13.464397,0.013373023,0.08746618,13.457000160217284,0.021
538202200014358,zr,58333.24441,13.443333,0.013364309,0.08936087,13.457000160217284,0.021
538202200014358,zr,58333.24486,13.451704,0.013367764,0.08837082,13.457000160217284,0.021
538202200014358,zr,58333.24532,13.436466,0.013361488,0.087269954,13.457000160217284,0.021
538202200014358,zr,58333.24577,13.425943,0.013357176,0.08292174,13.457000160217284,0.021
538202200014358,zr,58333.24624,13.437071,0.013361735,0.080707975,13.457000160217284,0.021
538202200014358,zr,58333.24669,13.4492855,0.013366764,0.079137735,13.457000160217284,0.021
538202200014358,zr,58333.24714,13.443985,0.013364579,0.08274222,13.457000160217284,0.021
538202200014358,zr,58333.2476,13.447708,0.013366113,0.07777935,13.457000160217284,0.021
538202200014358,zr,58333.24805,13.442446,0.013363945,0.07392786,13.457000160217284,0.021
538202200014358,zr,58333.2485,13.4367285,0.013361595,0.079301514,13.457000160217284,0.021
538202200014358,zr,58333.24897,13.444319,0.013364716,0.079618156,13.457000160217284,0.021
538202200014358,zr,58333.24942,13.438087,0.013362153,0.07386096,13.457000160217284,0.021
538202200014358,zr,58333.24988,13.44983,0.013366989,0.07605158,13.457000160217284,0.021
538202200014358,zr,58333.25033,13.432702,0.013359943,0.07569079,13.457000160217284,0.021
538202200014358,zr,58333.25078,13.448198,0.0133663155,0.080189206,13.457000160217284,0.021
538202200014358,zr,58333.25125,13.429096,0.013358467,0.08014142,13.457000160217284,0.021
538202200014358,zr,58333.25171,13.441311,0.013363478,0.07914559,13.457000160217284,0.021
538202200014358,zr,58333.25216,13.44408,0.013364618,0.08140179,13.457000160217284,0.021
538202200014358,zr,58333.25261,13.445346,0.013365139,0.083272845,13.457000160217284,0.021
538202200014358,zr,58333.25308,13.434541,0.013360698,0.08525232,13.457000160217284,0.021
538202200014358,zr,58333.25353,13.443196,0.013364254,0.07994575,13.457000160217284,0.021
538202200014358,zr,58333.25399,13.453663,0.013368573,0.08402573,13.457000160217284,0.021
538202200014358,zr,58333.25444,13.457521,0.01337017,0.088101774,13.457000160217284,0.021
538202200014358,zr,58333.2549,13.465186,0.013373351,0.08053538,13.457000160217284,0.021
538202200014358,zr,58333.25536,13.455296,0.013369248,0.080059156,13.457000160217284,0.021
538202200014358,zr,58333.25581,13.468217,0.01337461,0.079613306,13.457000160217284,0.021
538202200014358,zr,58333.25627,13.453456,0.013368486,0.079828285,13.457000160217284,0.021
538202200014358,zr,58333.25672,13.457776,0.013370276,0.08405229,13.457000160217284,0.021
538202200014358,zr,58333.25718,13.447205,0.013365906,0.0861607,13.457000160217284,0.021
538202200014358,zr,58333.25764,13.450047,0.013367078,0.08183081,13.457000160217284,0.021
538202200014358,zr,58333.2581,13.444373,0.013364739,0.0805442,13.457000160217284,0.021
538202200014358,zr,58333.25855,13.444898,0.013364955,0.07749412,13.457000160217284,0.021
538202200014358,zr,58333.25901,13.451359,0.01336762,0.07474267,13.457000160217284,0.021
538202200014358,zr,58333.25946,13.4540615,0.013368737,0.07062643,13.457000160217284,0.021
538202200014358,zr,58333.25993,13.449628,0.013366905,0.08044953,13.457000160217284,0.021
538202200014358,zr,58333.26038,13.443752,0.013364483,0.072929464,13.457000160217284,0.021
538202200014358,zr,58333.26084,13.476561,0.01337809,0.067858234,13.457000160217284,0.021
538202200014358,zr,58333.26129,13.4435835,0.013364414,0.08364727,13.457000160217284,0.021
538202200014358,zr,58333.26176,13.444658,0.013364856,0.07971025,13.457000160217284,0.021
538202200014358,zr,58333.26221,13.474739,0.013377329,0.07732369,13.457000160217284,0.021
538202200014358,zr,58333.26267,13.464187,0.013372935,0.08415117,13.457000160217284,0.021
538202200014358,zr,58333.26312,13.46096,0.013371595,0.08492362,13.457000160217284,0.021
538202200014358,zr,58333.26358,13.453568,0.013368534,0.082802705,13.457000160217284,0.021
538202200014358,zr,58333.26404,13.456935,0.013369927,0.07899982,13.457000160217284,0.021
538202200014358,zr,58333.2645,13.459417,0.013370956,0.0813849,13.457000160217284,0.021
538202200014358,zr,58333.26495,13.430913,0.0133592095,0.08028962,13.457000160217284,0.021
538202200014358,zr,58333.2654,13.450114,0.013367106,0.07160947,13.457000160217284,0.021
538202200014358,zr,58333.26586,13.449428,0.013366823,0.07334197,13.457000160217284,0.021
538202200014358,zr,58333.26632,13.437158,0.013361771,0.08404563,13.457000160217284,0.021
538202200014358,zr,58333.26678,13.462176,0.0133721,0.07812596,13.457000160217284,0.021
538202200014358,zr,58333.26724,13.445088,0.013365034,0.07997483,13.457000160217284,0.021
538202200014358,zr,58333.26769,13.451262,0.01336758,0.08121135,13.457000160217284,0.021
538202200014358,zr,58333.26814,13.450451,0.013367246,0.082923114,13.457000160217284,0.021
538202200014358,zr,58333.26861,13.4605055,0.013371407,0.07765993,13.457000160217284,0.021
538202200014358,zr,58333.26906,13.454321,0.013368845,0.08311449,13.457000160217284,0.021
538202200014358,zr,58333.26952,13.449707,0.013366939,0.08386107,13.457000160217284,0.021
538202200014358,zr,58333.26997,13.455107,0.01336917,0.08944936,13.457000160217284,0.021
538202200014358,zr,58333.27044,13.46574,0.013373582,0.08017721,13.457000160217284,0.021
538202200014358,zr,58333.2709,13.4702835,0.013375471,0.0772608,13.457000160217284,0.021
538202200014358,zr,58333.27135,13.4441595,0.013364651,0.076858565,13.457000160217284,0.021
538202200014358,zr,58333.2718,13.45436,0.013368861,0.083030716,13.457000160217284,0.021
538202200014358,zr,58333.27226,13.448301,0.013366357,0.075842425,13.457000160217284,0.021
538202200014358,zr,58333.27272,13.442216,0.01336385,0.0760574,13.457000160217284,0.021
538202200014358,zr,58333.27318,13.447127,0.013365874,0.07853772,13.457000160217284,0.021
538202200014358,zr,58333.27363,13.456743,0.013369848,0.077623196,13.457000160217284,0.021
538202200014358,zr,58333.27409,13.467023,0.013374114,0.081773266,13.457000160217284,0.021
538202200014358,zr,58333.27454,13.461313,0.013371741,0.07466952,13.457000160217284,0.021
