MJD          m      dm   uJy   duJy F err chi/N     RA       Dec        x        y     maj  min   phi  apfit mag5sig Sky   Obs
57230.361226  13.317  0.004 17110   73 o  0 8392.29 278.53578   9.56705  1398.19  9149.79 3.67 3.59 -55.3 -0.490 18.67 19.84 02a57230o0151o
57230.374178  13.338  0.005 16788   78 o  0 6340.10 278.53578   9.56705  1400.05  9154.74 3.68 3.60 -59.7 -0.479 18.68 19.84 02a57230o0165o
57230.414690  13.255  0.004 18121   78 o  0 7884.91 278.53578   9.56705  7376.06   896.69 3.67 3.56   7.5 -0.511 18.70 19.86 02a57230o0212o
57230.424561  13.281  0.005 17679   83 o  0 6469.74 278.53578   9.56705  7371.06   898.89 3.72 3.62   1.6 -0.508 18.64 19.74 02a57230o0224o
57248.312403  13.786  0.004 11105   48 c  0 9140.70 278.53578   9.56705  1146.38  9367.48 4.05 3.88 -58.0 -0.455 19.58 21.66 02a57248o0105c
57248.346059  13.803  0.004 10936   46 c  0 10295.72 278.53578   9.56705  1135.60  9374.60 4.25 3.89 -51.0 -0.439 19.57 21.65 02a57248o0148c
57248.385385  13.763  0.004 11349   50 c  0 7938.90 278.53578   9.56705  7122.33  1108.04 4.12 3.74   2.1 -0.486 19.49 21.58 02a57248o0198c
57248.389882  13.759  0.004 11382   48 c  0 9937.31 278.53578   9.56705  7122.55  1106.98 4.16 3.72   2.3 -0.483 19.47 21.56 02a57248o0204c
57250.315604  13.800  0.004 10966   48 c  0 14152.50 278.53578   9.56705  1132.81  9375.89 3.94 3.93 -41.8 -0.459 19.29 21.23 02a57250o0082c
57250.348304  13.793  0.004 11032   45 c  0 13111.91 278.53578   9.56705  1120.20  9379.92 4.10 3.91 -45.9 -0.445 19.46 21.42 02a57250o0125c
57250.387419  13.768  0.005 11298   61 c  0 5973.47 278.53578   9.56705  7106.78  1114.20 4.16 3.81   5.2 -0.479 18.86 20.75 02a57250o0175c
57250.391710  13.776  0.006 11208   73 c  0 3569.42 278.53578   9.56705  7107.42  1113.23 4.13 3.76   5.3 -0.481 18.54 20.41 02a57250o0181c
57277.285856  13.766  0.004 11311   47 c  0 14312.89 278.53578   9.56705  9022.57  7099.19 4.35 3.67  88.7 -0.486 19.47 21.50 02a57277o0127c
57277.307324  13.767  0.004 11306   48 c  0 11180.12 278.53578   9.56705  9021.25  7100.52 4.28 3.63  89.7 -0.478 19.48 21.49 02a57277o0154c
57277.327843  13.788  0.004 11088   47 c  0 12915.30 278.53578   9.56705  7565.77  8549.38 4.16 3.60 -80.1 -0.466 19.46 21.43 02a57277o0179c
57277.335358  13.607  0.004 13100   51 c  0 8488.61 278.53578   9.56705  2473.73  1015.37 4.73 3.64 -18.3 -0.489 19.46 21.44 02a57277o0189c
57277.351430  13.796  0.004 11007   47 c  0 11867.28 278.53578   9.56705  7563.76  8551.75 4.17 3.64 -78.2 -0.461 19.40 21.32 02a57277o0210c
57313.263613  13.577  0.004 13464   55 c  0 5222.10 278.53578   9.56705  7149.18  1128.46 5.10 4.21   4.9 -0.477 18.97 20.65 02a57313o0016c
57313.276995  13.499  0.004 14461   58 c  0 4684.80 278.53578   9.56705  7154.07  1128.07 5.38 4.18   3.4 -0.491 18.95 20.61 02a57313o0036c
57318.211425  13.277  0.005 17748   87 o  0 6575.46 278.53578   9.56705  1216.41  9400.88 4.92 3.49 -60.4 -0.482 18.45 19.59 02a57318o0027o
57319.253083  13.251  0.005 18187   89 o  0 5594.49 278.53578   9.56705  1219.23  9395.41 4.93 3.39 -57.5 -0.488 18.26 19.29 02a57319o0114o
57322.222267  13.309  0.007 17234  114 o  0 2269.83 278.53578   9.56705  1240.92  9401.97 4.98 3.67 -58.2 -0.502 17.82 18.58 02a57322o0143o
57322.228165  12.848  0.005 26345  127 o  0 1922.04 278.53578   9.56705  7233.67  1139.27 5.68 4.01   2.0 -0.565 17.78 18.56 02a57322o0152o
57322.244786  13.324  0.008 17002  129 o  0 1711.69 278.53578   9.56705  1240.65  9399.77 5.02 3.98 -58.1 -0.516 17.55 18.27 02a57322o0177o
57323.215715  13.285  0.005 17614   96 o  0 3784.78 278.53578   9.56705  1248.08  9401.80 5.09 3.81 -61.4 -0.486 18.11 19.15 02a57323o0075o
57323.240220  12.769  0.004 28331  114 o  0 2133.39 278.53578   9.56705  7237.53  1138.62 6.13 4.37   1.9 -0.540 18.00 18.99 02a57323o0111o
57323.240880  13.207  0.005 18925   95 o  0 3948.14 278.53578   9.56705  1244.77  9400.02 5.26 4.07 -58.3 -0.496 17.90 18.87 02a57323o0112o
57323.265665  12.744  0.004 29000  118 o  0 1605.47 278.53578   9.56705  7239.38  1139.08 6.46 4.66   3.8 -0.499 17.83 18.78 02a57323o0150o
57326.208997  13.254  0.004 18122   79 o  0 9026.06 278.53578   9.56705  1287.07  9412.54 4.75 3.54 -64.8 -0.502 18.74 20.23 02a57326o0067o
57326.229168  13.249  0.005 18208   83 o  0 6568.87 278.53578   9.56705  1282.93  9412.49 4.83 3.76 -63.2 -0.506 18.70 20.24 02a57326o0098o
